Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
EECS 567 / MECHENG 567 / MFG 567 / ROB 510,Robotic Kinematics and Dynamics,EECS,Robotics,Kinematics,Dynamics,Motion Planning,Obstacle Avoidance,,,,
EECS 570,Parallel Computer Architecture,EECS,Parallel Architecture,Multiprocessors,Shared-Memory Systems,Latency Tolerance,Interconnection Networks,,,,
EHS 588 / EAS 475 / ENVIRON 475,Environmental Law,EHS,Environmental Law,Toxic Tort Actions,Environmental Policy,Legal Processes,Pollution Control,,,,
ELI 131,Interactive Communication,ELI,Interactive Communication,Fluency,Academic Communication,Language Confidence,Cultural Foundations,,,,
ELI 210,English Vocabulary for Speaking and Writing,ELI,Vocabulary Enhancement,Academic Writing,Speaking Strategies,Listening Skills,Online Learning,,,,
ELI 222,Writing for Campus and Career,ELI,Academic Writing,Professional Writing,Writing Skills,Revision Strategies,Communication Clarity,,,,
ELI 236,Pronunciation I,ELI,Pronunciation Clarity,Communication Skills,Oral Fluency,Language Accuracy,Accent Reduction,,,,
ELI 390 / EDUC 390 / LING 390 / RCSTP 390,Community-Engaged Learning in ESL Teaching Contexts,ELI,ESL Teaching,Community Engagement,Language Teaching,Hands-On Learning,Teaching Practice,,,,
ELI 392,Topics in English for Academic Purposes,ELI,Academic English,Language Skills,Grammar,Pronunciation,English Proficiency,,,,
ELI 393,Teaching English Internationally,ELI,EFL Pedagogy,International Teaching,Language Instruction,Curriculum Development,Interactive Classroom,,,,
ELI 399,Individual Research and Study,ELI,Independent Research,Second Language Acquisition,ESL Research,Language Learning,Research Supervision,,,,
ENGLISH 124,"Writing, Literature, and Academic Inquiry",ENGLISH,Writing Skills,Academic Inquiry,Literary Analysis,Argumentative Writing,Complex Arguments,,,,
ENGLISH 125,Writing and Academic Inquiry,ENGLISH,Writing Skills,Academic Argumentation,Analytic Writing,Research-Based Writing,Argument Development,,,,
ENGLISH 126,Community-Engaged Writing,ENGLISH,Community Writing,Applied Writing,Self-Reflection,Writing for Impact,Civic Engagement,,,,
ENGLISH 140,First-Year Seminar on English Language and Literature,ENGLISH,Literary Study,First-Year Seminar,English Literature,Essay Writing,Focused Learning,,,,
ENGLISH 190,Introduction to English Language and Literature Studies,ENGLISH,Introduction to Literature,Historical Periods,Genres and Themes,Literary Exploration,English Studies,,,,
ENGLISH 203,Introduction to Language and Rhetoric,ENGLISH,Rhetoric Language Analysis,Language Influence,Critical Thinking,Argument Structure,Communication Skills,,,,
ENGLISH 215 / WGS 217,Introduction to Women and Literature,ENGLISH,Women Writers,Literary Criticism,Feminist Literature,Gender Studies,Rhetorical Analysis,,,,
ENGLISH 216,Introduction to Disability Studies,ENGLISH,Disability Studies,Access and Inclusion,Physical and Cognitive Disabilities,Critical Interventions,Disability Awareness,,,,
ENGLISH 221,Literature and Writing Outside the Classroom,ENGLISH,Non-Academic Writing,Literary Activities,Community Engagement,Outdoor Learning,Creative Writing,,,,
ENGLISH 223,Introduction to Creative Writing,ENGLISH,Creative Writing,Writing Skills,Genres of Writing,Fiction and Poetry,Writing Critique,,,,
ENGLISH 225,Academic Argumentation,ENGLISH,Argumentation Techniques,Evidence-Based Writing,Writing Conventions,Academic Discourse,Reasoned Arguments,,,,
ENGLISH 226,Directed Writing,ENGLISH,Independent Writing,Directed Research,Writing Projects,Custom Curriculum,Personalized Writing,,,,
ENGLISH 229,Professional Writing,ENGLISH,Professional Writing,Workplace Communication,Technical Writing,Writing Ethics,Business Writing,,,,
ENGLISH 232,Introduction to Visual Culture,ENGLISH,Visual Rhetoric,Media Analysis,Graphic Narrative,Visual Texts,Comics and Film,,,,
ENGLISH 240,Introduction to Reading Poetry,ENGLISH,Poetry Analysis,Literary Techniques,Terminology Study,Poetic Forms,Conventional and Experimental Poetry,,,,
ENGLISH 244,Introduction to Literary Journalism,ENGLISH,Literary Journalism,Nonfiction Writing,Essay Craft,Immersive Reporting,Narrative Journalism,,,,
ENGLISH 258 / JUDAIC 258 / RELIGION 258,The Bible as Literature,ENGLISH,Biblical Literature,Old and New Testament,Canon Formation,Literary Genres,Scriptural Analysis,,,,
ENGLISH 260,Reading British Literatures,ENGLISH,British Literature,Cultural Context,Colonial Influence,Ireland and Empire,Literary Study,,,,
ENGLISH 266,Reading Genre Fiction,ENGLISH,Genre Fiction,Storytelling Conventions,Horror and Fantasy,Romance and Noir,Science Fiction,,,,
ENGLISH 274 / AAS 271,Introduction to Afro-American Literature,ENGLISH,Afro-American Literature,Black Narratives,Poetry and Prose,Historical Context,Cultural Critique,,,,
ENGLISH 290,Themes in Language and Literature,ENGLISH,Thematic Literature,Language Exploration,Interdisciplinary Themes,Analytical Reading,Cultural Contexts,,,,
ENGLISH 292,Topics in Language and Literature,ENGLISH,Literature Topics,Cultural Events,Focused Studies,Non-Concentrators,Author-Specific Study,,,,
ENGLISH 293,Great Works,ENGLISH,Major Literary Work,In-Depth Analysis,Single Text Focus,Classic Literature,Concentrated Study,,,,
ENGLISH 304,Ways of Reading Literature,ENGLISH,Literary Analysis,Interpretive Frameworks,Critical Theory,Multi-Disciplinary Approaches,Analytical Methods,,,,
ENGLISH 313,Topics in Literary Studies,ENGLISH,Literary Themes,Historical Periods,Genre Focus,Author Analysis,Conceptual Approaches,,,,
ENGLISH 314 / WGS 314,Gender and Sexuality Studies in Literature,ENGLISH,Gender Analysis,Sexuality Studies,Literary Themes,Social Dynamics,Cultural Perspectives,,,,
ENGLISH 316,Disability Studies,ENGLISH,Disability Representation,Cultural Texts,Interdisciplinary Studies,Arts Analysis,Literary Themes,,,,
ENGLISH 317,Literature and Culture,ENGLISH,Cultural Representation,Historical Context,Literary Themes,Regional Focus,Social Change,,,,
ENGLISH 319,Literature and Social Change,ENGLISH,Societal Impact,Scientific Influence,Political Change,Cultural Transformation,Modern Literature,,,,
ENGLISH 320 / ENVIRON 322,Literature and the Environment,ENGLISH,Environmental Literature,Sustainability Themes,Nature Writing,Planetary Concerns,Ecocriticism,,,,
ENGLISH 322,Community Journalism,ENGLISH,Journalism Internship,Community Reporting,Writing Seminar,Professional Experience,Fieldwork,,,,
ENGLISH 323,Creative Writing: Fiction,ENGLISH,Fiction Writing,Workshopping,Peer Feedback,Creative Practice,Narrative Craft,,,,
ENGLISH 324,Creative Writing: Poetry,ENGLISH,Poetry Workshop,Original Writing,Peer Review,Creative Expression,Poetic Forms,,,,
ENGLISH 325,Art of the Essay,ENGLISH,Essay Writing,Stylistic Techniques,Genre-Blending,Research-Informed,Personal Voice,,,,
ENGLISH 327 / THTREMUS 327,Intermediate Playwriting,ENGLISH,Playwriting Practice,Short Plays,Script Development,Dramatic Structure,Theatrical Concepts,,,,
ENGLISH 328,Writing and the Environment,ENGLISH,Environmental Essays,Nature Writing,Persuasive Writing,Environmental Advocacy,Descriptive Narrative,,,,
ENGLISH 330 / FTVM 330,Major Directors,ENGLISH,Film Analysis,Director Focus,School of Filmmaking,Film Theory,Historical Context,,,,
ENGLISH 332,Visual Culture,ENGLISH,Visual Media,Graphic Narratives,Film Analysis,Photography Study,Media Techniques,,,,
ENGLISH 334 / AAS 329 / WGS 325,Writing Sex: Contemporary Black Women Writers,ENGLISH,Black Feminist Theory,Post-Civil Rights Era,Black Women's Literature,Historical Context,Poetry and Prose,,,,
ENGLISH 337 / JUDAIC 334 / MIDEAST 334 / RELIGION 334,The Bible as a Material Object,ENGLISH,Material Culture,Ancient Texts,Biblical Manuscripts,Media Evolution,Historical Analysis,,,,
ENGLISH 340,Studies in Poetry,ENGLISH,Poetry Analysis,Writing Practice,Topic Exploration,Literary Critique,Thematic Study,,,,
ENGLISH 341,Fantasy,ENGLISH,Fantasy Literature,Magic and Supernatural,Folklore Analysis,Cultural Mythology,Historical Perspectives,,,,
ENGLISH 342,Science Fiction and Speculative Fiction,ENGLISH,Alternate Worlds,Futurism,Speculative Literature,Genre Exploration,Film and Literature,,,,
ENGLISH 343 / ENVIRON 320 / STS 330,"Environmental Journalism: Reporting About Science, Policy, and Public Health",ENGLISH,Environmental Reporting,Science Journalism,Public Health Issues,Research Skills,Communicating to Public,,,,
ENGLISH 345,The New Essay,ENGLISH,Personal Essay,Multimodal Composition,Research-Based Writing,Peer Workshops,Modern Technology,,,,
ENGLISH 350 / MEMS 350,Literature in English to 1660,ENGLISH,Early English Literature,Historical Texts,Literary Range,Classic Works,Pre-1660 Literature,,,,
ENGLISH 362,The American Novel,ENGLISH,US Novel Development,Major Authors,American Tradition,Historical Influence,Social Context,,,,
ENGLISH 367 / MEMS 367,Shakespeare's Principal Plays,ENGLISH,Shakespeare's Works,Play Analysis,Literary Appreciation,Theatrical Studies,Classic Playwright,,,,
ENGLISH 370,Jane Austen,ENGLISH,Austen's Works,Literary Context,Historical Analysis,Character Study,Prose Style,,,,
ENGLISH 373,Literature of the Americas,ENGLISH,American Texts,Cross-Cultural Literature,Historical Moments,Comparative Literature,English Language Works,,,,
ENGLISH 378 / AMAS 378 / AMCULT 382 / ISLAM 378,Muslim and Arab Literatures,ENGLISH,Muslim Literature,Arab Writers,Modern Texts,Global Literature,Contemporary Themes,,,,
ENGLISH 379 / AAS 338,Literature in Afro-American Culture,ENGLISH,Afro-American Literature,Cultural Themes,Historical Influence,American Literature,Race and Identity,,,,
ENGLISH 384 / AAS 384 / AMCULT 376,Caribbean Literature,ENGLISH,Caribbean Authors,Cultural Context,Canon Discussion,Ethnicity Issues,Race Analysis,,,,
ENGLISH 390,Topics in Literary Criticism and Theory,ENGLISH,Literary Criticism,Theoretical Approaches,Topic Variation,Critical Theory,Analytical Studies,,,,
ENGLISH 397,Research Seminar,ENGLISH,Research Methods,Literary Criticism,Independent Study,Writing Techniques,Scholarly Research,,,,
ENGLISH 398,Writing with Lit,ENGLISH,Advanced Writing,Literary Analysis,Project Sharing,Significant Writing,Scholarly Discussion,,,,
ENGLISH 403,Topics in Language and Rhetorical Studies,ENGLISH,Language Consequences,Rhetorical Analysis,Linguistic Practices,Discourse Community,Political Influence,,,,
ENGLISH 405,Theories of Writing,ENGLISH,Writing Theory,Classroom Practices,Composition Studies,Educational Theory,Writing Pedagogy,,,,
ENGLISH 407,Topics in English Language and Literature,ENGLISH,Critical Approaches,Writer Analysis,Genre Study,Period Study,Applied Criticism,,,,
ENGLISH 408 / LING 408,Varieties of English,ENGLISH,Language Variation,Dialects,American English,Global English,Sociolinguistic Influence,,,,
ENGLISH 410,Middle English,ENGLISH,Middle English Language,Text Translation,Grammar Study,Dialect Variation,Medieval Literature,,,,
ENGLISH 414,Topics in Gender/Sexuality Studies,ENGLISH,Gender Theory,Sexuality Studies,Social Identity,Aesthetic Form,Cultural Analysis,,,,
ENGLISH 415 / WGS 414,Studies in Women and Literature,ENGLISH,Women Writers,Representation,Gender Roles,Literary Analysis,Historical Context,,,,
ENGLISH 423,Advanced Fiction Writing,ENGLISH,Fiction Workshop,Creative Writing,Peer Feedback,Revision Process,Original Work,,,,
ENGLISH 424,Advanced Poetry Writing,ENGLISH,Poetry Workshop,Creative Writing,Peer Feedback,Revision Techniques,Original Poems,,,,
ENGLISH 425,Advanced Essay Writing,ENGLISH,Expository Prose,Writing Guidance,Long-Form Writing,Individual Feedback,Writing Practice,,,,
ENGLISH 428,Senior Creative Writing Tutorial,ENGLISH,Capstone Project,Fiction or Poetry,Major Manuscript,Faculty Supervision,Individual Tutorial,,,,
ENGLISH 440,Studies in Modern and Contemporary Poetry,ENGLISH,Modern Poetry,Poetic Movements,20th-21st Century,Critical Poetics,Genre Exploration,,,,
ENGLISH 444 / THTREMUS 322,History of Theatre II,ENGLISH,Theatre History,Dramatic Arts,Performance Evolution,Theatrical Movements,Historical Context,,,,
ENGLISH 450,Studies in Medieval and Renaissance Literature,ENGLISH,Medieval Texts,Renaissance Works,Genre Exploration,Pre-1660 Literature,Theme-Based Study,,,,
ENGLISH 460,Studies in the Novel,ENGLISH,Novel Analysis,Historical Trends,Unreliable Narration,Post-Colonial Novel,Gothic Literature,,,,
ENGLISH 464,Studies in Individual Authors,ENGLISH,Major Author,Focused Study,Literary Impact,Works Analysis,Author-Specific Themes,,,,
ENGLISH 467,Topics in Shakespeare,ENGLISH,Shakespeare Studies,Advanced Topics,Play Analysis,Literary Criticism,Thematic Exploration,,,,
ENGLISH 480,Advanced Topics in Disability Studies,ENGLISH,Disability Theory,Social Movements,Critical Perspectives,Material Impact,Activism and Arts,,,,
ENGLISH 496,Capstone: Completing the Thesis,ENGLISH,Honors Thesis,Final Draft,Senior Project,Research Writing,Faculty Guidance,,,,
ENS 307 / RCMUSIC 325,Global Performance Ensemble,ENS,Global Music,Cultural Performance,Ensemble Practice,Cross-Cultural Exchange,Multidisciplinary Arts,,,,
ENS 351 / RCMUSIC 323,Arts Chorale,ENS,Choral Performance,Audition-Based,Vocal Ensemble,Music Techniques,Credit-Bearing Ensemble,,,,
ENS 451 / RCMUSIC 423 / RCSTP 423,Out of the Blue,ENS,Community Outreach,Prison Arts,Workshop Facilitation,Performance Ensemble,Social Impact Arts,,,,
ENSCEN 105 / CHEM 105 / CLIMATE 105 / ENVIRON 105 / STS 105,Our Changing Atmosphere,ENSCEN,Greenhouse Effect,Sratospheric Ozone Depletion,Polar Ozone Holes,Urban Smog,Environment,,,,
ENSCEN 451 / CLIMATE 451 / EARTH 457,Atmospheric Dynamics I,ENSCEN,Atmospheric Circulation,Planetary & Equatorial Waves,Middle Atmosphere dynamics,Tropical Meteorology,Spectral Methods,,,,
ENVIRON 102 / CLIMATE 102 / EARTH 122,Extreme Weather,ENVIRON,Severe Storms,Atmospheric Physics,Weather Forecasting,Climate Events,Hazard Analysis,,,,
ENVIRON 105 / CHEM 105 / CLIMATE 105 / ENSCEN 105 / STS 105,Our Changing Atmosphere,ENVIRON,Greenhouse Effect,Ozone Depletion,Air Pollution,Atmospheric Chemistry,Environmental Impact,,,,
ENVIRON 109 / CHEM 110 / EARTH 178,Science and Sustainable Development,ENVIRON,Sustainability Goals,Environmental Science,UN Goals,Conservation Solutions,Global Impact,,,,
ENVIRON 111 / CLIMATE 172 / EARTH 172 / GEOG 111,Climate Change and Sustainability: Environmental Challenges of the 21st Century,ENVIRON,Human Impact,Climate Crisis,Sustainability Practices,Environmental Geography,Personal Pledge,,,,
ENVIRON 118 / EARTH 118,Introductory Earth Science Laboratory,ENVIRON,Earth Materials,Geologic Maps,Fossils and Rocks,Lab Science,Hands-On Learning,,,,
ENVIRON 119 / EARTH 119,Introduction to Earth Science,ENVIRON,Earth Systems,Geohazards,Environmental Resources,Human-Earth Interaction,Surface Processes,,,,
ENVIRON 120 / EARTH 120,Geology of National Parks and Monuments,ENVIRON,Tectonic Evolution,Volcanism,Fossil Record,Geologic History,Earthquakes,,,,
ENVIRON 133 / ANTHRBIO 133 / COMPFOR 133,Fundamentals of Scientific Computing in R,ENVIRON,Data Analysis,Scientific Computing,Programming in R,Quantitative Skills,Data Visualization,,,,
ENVIRON 139,First-Year Seminar in the Environment,ENVIRON,Environmental Issues,First-Year Seminar,Interdisciplinary Topics,Early Exploration,Sustainable Thinking,,,,
ENVIRON 155,Interdisciplinary Environmental Topics,ENVIRON,Special Topics,Environmental Problems,Cross-Disciplinary,Perspectives on Ecology,Variable Content,,,,
ENVIRON 201 / RCNSCI 202,Ecological Issues,ENVIRON,Resource Management,Biodiversity,Climate Topics,Deforestation,Pollution Control,,,,
ENVIRON 206 / EARTH 206. How the Earth Works,The Water Cycle and Environment,ENVIRON,Water Cycle,Earth Processes,Biogeochemistry,Surface Exchange,Environmental Rates,,,,
ENVIRON 208 / ORGSTUDY 208,Business and Sustainability,ENVIRON,Corporate Impact,Sustainable Practices,Environmental Strategy,Business Analysis,Social Responsibility,,,,
ENVIRON 210 / PHYSICS 210,Sustainable Energy Futures,ENVIRON,Energy Systems,Renewable Resources,Climate Justice,Engineering Physics,Societal Impact,,,,
ENVIRON 222,Introduction to Environmental Justice,ENVIRON,Environmental Racism,Hazardous Waste,Community Impact,Native American Issues,Transboundary Issues,,,,
